Text,gold_ner,gold_re,wx_ner,gpt_re
刘备惧失益州，使使求和于权。权令诸葛瑾报命，更寻盟好。遂分荆州，以湘水为界：长沙、江夏、桂阳以东属权，南郡、零陵、武陵以西属备。,"{'人物': ['刘备', '权', '权', '诸葛瑾', '权', '备'], '地点': ['益州', '荆州', '湘水', '长沙', '江夏', '桂阳', '南郡', '零陵', '武陵']}","{'其他': [['权', '荆州'], ['刘备', '权']], '管理': [['权', '江夏'], ['权', '桂阳'], ['备', '南郡'], ['权', '长沙'], ['备', '武陵'], ['备', '零陵']], '派遣': [['权', '诸葛瑾']]}","{'人物': ['备', '权', '瑾'], '地点': ['武陵', '零陵', '桂阳', '江夏', '长沙', '南郡', '湘水', '益州', '荆州']}","{'派遣': [], '属地': [['江夏', '权'], ['桂阳', '权'], ['长沙', '权'], ['南郡', '备'], ['零陵', '备'], ['武陵', '备']]}"
后，文昭皇后兄俨之孙也。,"{'人物': ['文昭皇后', '俨']}","{'其他': [['文昭皇后', '俨']]}","{'人物': ['文昭皇后', '俨', '后']}","{'兄弟': [['俨', '文昭皇后']]}"
十一月，汉中王备所置宜都太守樊友委郡走，诸城长吏及蛮夷君长皆降于逊。,"{'时间': ['十一月'], '职官': ['汉中王', '太守'], '人物': ['备', '樊友', '长吏', '蛮夷君长', '逊'], '地点': ['宜都', '郡']}","{'其他': [['樊友', '郡']], '任职': [['樊友', '太守'], ['备', '汉中王']], '管理': [['樊友', '宜都']], '归附': [['蛮夷君长', '逊'], ['长吏', '逊']], '封': [['备', '樊友']]}","{'人物': ['王备', '樊友', '逊'], '地点': ['宜都', '汉中'], '职官': ['太守'], '时间': ['十一月']}","{'管理': [['樊友', '宜都']], '任职': [['樊友', '太守']], '封': [['王备', '樊友']], '归附': [['樊友', '逊']]}"
魏略曰：文帝改长安、谯、许昌、邺、洛阳为五都，立石表，西界宜阳，北循太行，东北界阳平，南循鲁阳，东界郯，为中都之地。,"{'书籍': ['魏略'], '人物': ['文帝'], '地点': ['长安', '谯', '许昌', '邺', '洛阳', '宜阳', '太行', '阳平', '鲁阳', '郯']}","{'设置': [['文帝', '许昌'], ['文帝', '洛阳'], ['文帝', '谯'], ['文帝', '邺'], ['文帝', '长安']]}",{},"{'设置': [['文帝', '长安'], ['文帝', '谯'], ['文帝', '许昌'], ['文帝', '邺'], ['文帝', '洛阳'], ['文帝', '宜阳'], ['文帝', '阳平'], ['文帝', '鲁阳']], '属地': [['文帝', '郯']], '地点别名': [['洛阳', '五都']]}"
故常山相孙瑾、掾张逸、张瓒等相与就虞，骂瓒极口，然后同死。,"{'团体': ['常山'], '职官': ['相'], '人物': ['孙瑾', '张逸', '张瓒', '虞', '瓒']}","{'任职': [['孙瑾', '相']], '投靠': [['张逸', '虞'], ['孙瑾', '虞'], ['张瓒', '虞']], '隶属于': [['孙瑾', '常山']], '其他': [['孙瑾', '瓒']]}","{'人物': ['张逸', '张瓒', '瓒', '孙瑾', '虞'], '职官': ['相', '掾'], '地点': ['常山']}","{'任职': [['孙瑾', '相'], ['张逸', '掾'], ['张瓒', '掾']], '管理': [['孙瑾', '常山']]}"
豫作答敎十馀条，敕门下，「敎出，随所问答之」，于是敎裁出，答已入；操怪其捷，推问，始泄。操亦以脩袁术之甥，恶之，恶，乌路翻。,"{'人物': ['操', '操', '脩', '袁术']}","{'其他': [['袁术', '脩']]}","{'人物': ['操', '袁术', '豫'], '时间': [], '地点': [], '职官': [], '书籍': [], '团体': []}","{'其他': [['操', '袁术']]}"
6郭汜飨公卿，议攻李傕。杨彪曰：「羣臣共鬭，一人劫天子，一人质公卿，可行乎！」质，音致。汜怒，欲手刃之。,"{'人物': ['郭汜', '李傕', '杨彪', '汜']}","{'其他': [['汜', '杨彪'], ['郭汜', '李傕']]}","{'人物': ['杨彪', '郭汜', '李傕', '汜']}",{'其他': []}
乃以谭继兄后，绍本司空逢之孽子，出后伯父成。,"{'人物': ['谭', '绍', '逢', '成']}","{'其他': [['绍', '成']], '父': [['逢', '绍']], '兄弟': [['成', '逢']]}","{'人物': ['绍', '谭', '成', '逢'], '职官': ['司空']}","{'兄弟': [['绍', '成']], '任职': [['逢', '司空']]}"
败，补迈翻。权寤，谢蒙曰：「以卿为大督，命皎为后继可也。,"{'人物': ['权', '蒙', '皎'], '职官': ['大督']}","{'封': [['权', '蒙']], '任职': [['蒙', '大督']]}","{'人物': ['权', '皎', '蒙', '谢蒙'], '职官': ['大督']}","{'封': [['权', '皎']], '任职': [['权', '大督']], '派遣': [['权', '蒙']], '政治奥援': [['权', '蒙']], '其他': [['权', '皎']], '交谈': [['权', '蒙']]}"
下贤从同。策以母弟讬广陵张纮，径到寿春见袁术，涕泣言曰：「亡父昔从长沙入讨董卓，与明使君会于南阳，同盟结好，不幸遇难，勳业不终。,"{'人物': ['策', '张纮', '袁术', '董卓'], '地点': ['广陵', '寿春', '长沙', '南阳'], '职官': ['使君']}","{'其他': [['策', '张纮']], '到达': [['策', '寿春']], '生于地点': [['张纮', '广陵']], '见面': [['策', '袁术']]}","{'人物': ['策', '袁术', '张纮', '董卓', '贤', '下贤'], '地点': ['寿春', '南阳', '长沙', '广陵']}","{'生于地点': [['张纮', '广陵']], '到达': [['策', '寿春'], ['张纮', '寿春']], '其他': [['策', '张纮']]}"
彧报曰：「绍悉众聚官渡，欲与公决胜败。,"{'人物': ['彧', '绍'], '地点': ['官渡']}","{'位于': [['绍', '官渡']]}","{'人物': ['绍', '彧', '公'], '地点': ['官渡']}","{'攻伐': [['绍', '官渡']]}"
蜀志误也。东海贼昌豨及郡县多叛操为备。,"{'书籍': ['蜀志'], '地点': ['东海'], '人物': ['昌豨', '操', '备']}","{'隶属于': [['昌豨', '东海']], '其他': [['昌豨', '操']], '政治奥援': [['昌豨', '备']]}","{'人物': ['操', '备', '昌豨'], '书籍': ['蜀志'], '地点': ['东海']}","{'其他': [['昌豨', '操']]}"
布杀卓东出，关东诸将无安布者，皆欲杀布耳。」请备于帐中，坐妇牀上，令妇向拜，酌酒飮食，名备为弟。,"{'人物': ['布', '卓', '布', '布', '备', '备'], '地点': ['关东']}","{'杀': [['布', '卓']]}","{'人物': ['备', '卓', '布'], '地点': ['关东']}",{}
孙策恶勳兵强，伪卑辞以事勳曰：「上缭宗民数欺鄙郡，恶，乌路翻。数，所角翻。欲击之，路不便。上缭甚富实，愿君伐之，请出兵以为外援。」且以珠宝、葛越赂勳。,"{'人物': ['孙策', '勳', '勳', '勳'], '地点': ['上缭', '上缭']}","{'其他': [['孙策', '勳'], ['孙策', '勳']]}","{'人物': ['勳', '孙策', '葛越'], '地点': ['上缭']}","{'其他': [['孙策', '勳'], ['葛越', '勳']]}"
」荀悦申鉴，其立论精切，关于国家兴亡之大致，过于彧、攸；至于揣摩天下之势，应敌设变，以制一时之胜，悦未必能也。曹操奸雄，亲信彧、攸，而悦乃在天子左右。,"{'人物': ['荀悦', '彧', '攸', '悦', '曹操', '彧', '攸', '悦'], '书籍': ['申鉴']}","{'政治奥援': [['曹操', '攸'], ['曹操', '彧']], '作者': [['荀悦', '申鉴']]}","{'人物': ['攸', '彧', '荀悦', '曹操'], '书籍': ['申鉴']}","{'任职': [['曹操', '彧'], ['曹操', '攸']]}"
爽兄弟数俱出游，数，所角翻。司农沛国桓范谓曰：「总万机，典禁兵，不宜并出，若有闭城门，谁复内入章：甲十六行本「入」作「人」；乙十一行本同；孔本同。,"{'人物': ['爽', '桓范', '章', '孔'], '职官': ['司农'], '地点': ['沛国']}","{'任职': [['桓范', '司农']], '生于地点': [['桓范', '沛国']]}","{'人物': ['爽', '桓范', '章', '孔'], '职官': ['司农'], '地点': ['沛国'], '书籍': ['甲十六行本', '乙十一行本']}","{'生于地点': [['桓范', '沛国']], '任职': [['桓范', '司农']], '作者': [['章', '甲十六行本']]}"
13晔尝谮令陈矫专权，矫惧，以吿其子骞。,"{'人物': ['晔', '陈矫', '矫', '骞'], '职官': ['令']}","{'任职': [['陈矫', '令']], '父': [['矫', '骞']], '其他': [['晔', '陈矫']]}","{'人物': [['矫', 1.0], ['晔', 0.9999], ['陈矫', 0.9999], ['骞', 0.9994]], '时间': [], '地点': [], '职官': [], '书籍': [], '团体': []}","{'父': [['矫', '骞']]}"
」洪时为东郡太守，徒跣号泣，从绍请兵，将赴其难，号，户刀翻。,"{'人物': ['洪', '绍'], '地点': ['东郡'], '职官': ['太守']}","{'任职': [['洪', '太守']], '管理': [['洪', '东郡']], '请求': [['洪', '绍']]}","{'人物': ['洪', '绍'], '职官': ['太守'], '地点': ['东郡']}","{'管理': [['洪', '东郡']], '任职': [['洪', '太守']], '请求': [['洪', '绍']]}"
父令铄，官至宝文阁待制。子淔以荫补承务郞，累迁少府监主簿，改河南少尹。,"{'人物': ['令铄', '子淔'], '职官': ['宝文阁待制', '承务郞', '少府监主簿', '少尹'], '地点': ['河南']}","{'任职': [['子淔', '承务郞'], ['子淔', '少府监主簿'], ['子淔', '少尹'], ['令铄', '宝文阁待制']], '管理': [['子淔', '河南']]}","{'人物': ['令铄', '子淔'], '职官': ['宝文阁待制', '承务郞', '少府监主簿', '少尹'], '地点': ['河南']}","{'任职': [['子淔', '少府监主簿'], ['子淔', '少尹'], ['子淔', '承务郞']], '管理': [['子淔', '河南']], '父': [['令铄', '子淔']]}"
13吴王以扬州牧吕范为大司马，印绶未下而卒。,"{'人物': ['吴王', '吕范'], '地点': ['扬州'], '职官': ['牧', '大司马']}","{'任职': [['吕范', '牧'], ['吕范', '大司马']], '管理': [['吕范', '扬州']], '封': [['吴王', '吕范']]}","{'人物': ['吴王', '吕范'], '职官': ['大司马', '牧'], '地点': ['扬州']}","{'任职': [['吕范', '大司马'], ['吕范', '牧']], '管理': [['吕范', '扬州']], '封': [['吴王', '吕范']]}"
8太傅懿阴与其子中护军师、散骑常侍昭谋诛曹爽。,"{'职官': ['太傅', '中护军', '散骑常侍'], '人物': ['懿', '师', '昭', '曹爽']}","{'任职': [['懿', '太傅'], ['师', '中护军'], ['昭', '散骑常侍']], '父': [['懿', '师'], ['懿', '昭']], '兄弟': [['师', '昭']]}","{'人物': ['曹爽', '懿', '昭', '师'], '职官': ['散骑常侍', '太傅', '中护军']}","{'任职': [['昭', '散骑常侍'], ['懿', '太傅'], ['师', '中护军']], '政治奥援': [['懿', '昭']]}"
会武学士柯子冲﹑卢宣德以事至府，师$擅挞遣之，众尽讙，文武二学之士交投牒，师$乃罢免，与祠。,"{'职官': ['武学士'], '人物': ['柯子冲', '卢宣德', '师$', '师$']}","{'任职': [['柯子冲', '武学士'], ['卢宣德', '武学士']]}","{'人物': ['师$', '卢宣德', '柯子冲', '师$'], '职官': ['武学士']}","{'任职': [['柯子冲', '武学士'], ['卢宣德', '武学士']]}"
诏日煚授检校太师﹑安南国大王，加食邑；,"{'人物': ['日煚'], '职官': ['检校太师', '安南国大王']}","{'任职': [['日煚', '检校太师'], ['日煚', '安南国大王']]}","{'人物': ['日煚'], '职官': ['检校太师', '安南国大王']}","{'任职': [['日煚', '检校太师'], ['日煚', '安南国大王']]}"
而乌桓浸衰，鲜卑大人步度根、轲比能、素利、弥加、厥机等因阎柔上贡献，求通市，通关市，以其土物与中国互市也。,"{'团体': ['乌桓', '鲜卑'], '职官': ['大人'], '人物': ['步度根', '轲比能', '素利', '弥加', '厥机', '阎柔']}","{'任职': [['厥机', '大人'], ['步度根', '大人'], ['轲比能', '大人'], ['弥加', '大人'], ['素利', '大人']], '隶属于': [['素利', '鲜卑'], ['步度根', '鲜卑'], ['弥加', '鲜卑'], ['厥机', '鲜卑'], ['轲比能', '鲜卑']]}","{'人物': ['步度根', '轲比能', '素利', '弥加', '厥机', '阎柔'], '团体': ['鲜卑', '中国'], '地点': ['乌桓']}","{'请求': [['步度根', '中国']], '其他': [['轲比能', '阎柔']], '任职': [['步度根', '大人'], ['弥加', '大人'], ['厥机', '大人'], ['素利', '大人']]}"
努力谢关东诸公，勤以国家为念！」太常种拂曰：「为国大臣，不能禁暴御侮，使白刃向宫，去将安之！」遂战而死。,"{'地点': ['关东'], '职官': ['太常'], '人物': ['种拂']}","{'任职': [['种拂', '太常']]}","{'人物': ['种拂'], '地点': ['关东', '关'], '职官': ['太常']}","{'任职': [['种拂', '太常']]}"
6丹阳大都督妫览、郡丞戴员杀太守孙翊。,"{'地点': ['丹阳'], '职官': ['大都督', '郡丞', '太守'], '人物': ['妫览', '戴员', '孙翊']}","{'任职': [['妫览', '大都督'], ['戴员', '郡丞'], ['孙翊', '太守']], '管理': [['妫览', '丹阳']], '杀': [['戴员', '孙翊'], ['妫览', '孙翊']]}","{'地点': ['丹阳'], '职官': ['太守', '郡丞', '大都督'], '人物': ['妫览', '孙翊', '戴员']}","{'杀': [['戴员', '孙翊']], '管理': [['妫览', '丹阳']], '任职': [['戴员', '郡丞'], ['妫览', '大都督'], ['孙翊', '太守']]}"
秋七月乙巳，诏嘉兴县王临年百二岁，补迪功郞致仕。,"{'时间': ['秋七月乙巳'], '地点': ['嘉兴县'], '人物': ['王临'], '职官': ['迪功郞']}","{'任职': [['王临', '迪功郞']], '生于地点': [['王临', '嘉兴县']]}","{'人物': ['嘉兴县王临'], '职官': ['迪功郞'], '时间': ['秋七月乙巳']}","{'任职': [['嘉兴县王临', '迪功郞']]}"
其年钦州言，交州効诚场民及头首八州使黄庆集等数百人来投，有诏慰抚，遣还本道。,"{'时间': ['其年'], '地点': ['钦州', '交州', '効诚场'], '职官': ['头首八州使'], '人物': ['黄庆集']}","{'任职': [['黄庆集', '头首八州使']], '属地': [['効诚场', '交州']]}","{'人物': ['黄庆集'], '地点': ['钦州', '交州'], '职官': ['头首八州使']}","{'任职': [['黄庆集', '头首八州使']]}"
」汝南太守满宠曰：「山水速疾，冀其不久。,"{'地点': ['汝南'], '职官': ['太守'], '人物': ['满宠']}","{'任职': [['满宠', '太守']], '管理': [['满宠', '汝南']]}","{'人物': ['满宠'], '地点': ['汝南'], '职官': ['太守']}","{'管理': [['满宠', '汝南']], '任职': [['满宠', '太守']]}"
会旱，饥民聚陂湖中，彦倓取死囚，羃首刖足，徇于众曰：“此劫蔆藕者也。”遂散其众。乃第民高下，损其税有差，免输湖籍田米，举缗钱四十万以助荒政，民赖以济。诏改太府少卿，迁显谟阁﹑知太平州，调江西转运使。,"{'人物': ['彦倓'], '职官': ['太府少卿', '显谟阁', '知太平州', '转运使'], '地点': ['江西']}","{'任职': [['彦倓', '太府少卿'], ['彦倓', '转运使'], ['彦倓', '知太平州'], ['彦倓', '显谟阁']], '管理': [['彦倓', '江西']]}","{'人物': [['彦倓', 0.9999], ['羃', 0.7398]], '职官': [['太府少卿', 0.9999], ['显谟阁', 0.9999], ['知太平州', 0.9999], ['转运使', 0.9999]], '地点': [['江西', 0.9999], ['湖', 0.9888]]}","{'任职': [['彦倓', '转运使'], ['彦倓', '知太平州'], ['彦倓', '太府少卿'], ['彦倓', '显谟阁']], '管理': [['彦倓', '江西']]}"
5太尉王凌闻吴人塞涂水，卽前所作堂邑涂塘也。,"{'职官': ['太尉'], '人物': ['王凌'], '团体': ['吴'], '地点': ['涂水', '堂邑', '涂塘']}","{'任职': [['王凌', '太尉']], '攻伐': [['吴', '涂水']], '地点别名': [['涂水', '堂邑'], ['涂水', '涂塘']]}","{'人物': ['王凌'], '职官': ['太尉'], '地点': ['涂水', '堂邑', '吴', '堂邑涂塘']}","{'任职': [['王凌', '太尉']]}"
未几，徙幷代路，给公使钱二千五百缗，普援例岁给钱三千缗，枢密院言无此例。又言李汉超守河朔时，岁给以万计，今幷代屯军多，不足以犒军，帝不纳。改桂州观察使﹑鎭州路总管，迁保平军节度观察留后，赴本鎭。,"{'地点': ['幷代路', '河朔', '幷代', '桂州', '鎭州路', '保平军'], '人物': ['普', '李汉超'], '职官': ['观察使', '总管', '节度观察留后']}","{'任职': [['普', '观察使'], ['普', '节度观察留后'], ['普', '总管']], '管理': [['普', '保平军'], ['普', '桂州'], ['普', '鎭州路']], '位于': [['李汉超', '河朔']]}","{'人物': ['普', '李汉超'], '地点': ['河朔', '桂州', '鎭州路', '幷代', '保平军'], '职官': ['总管', '观察使', '节度观察留后', '枢密院言']}","{'管理': [['普', '保平军'], ['普', '桂州'], ['普', '鎭州路'], ['李汉超', '保平军'], ['李汉超', '桂州']], '位于': [['李汉超', '河朔']], '任职': [['普', '总管'], ['普', '观察使'], ['普', '节度观察留后'], ['李汉超', '总管'], ['李汉超', '观察使']]}"
绍兴九年，宣谕使周聿上之朝，诏赴行在，而签书枢密院事楼炤言璞苦风痺，化源﹑长孺老病，遂命各转两官奉祠；又言新凤翔敎授阴晫守节不仕，诏特改令入官。,"{'时间': ['绍兴九年'], '职官': ['宣谕使', '签书枢密院事', '敎授'], '人物': ['周聿', '楼炤', '璞', '化源', '长孺', '阴晫'], '地点': ['凤翔']}","{'任职': [['阴晫', '敎授'], ['周聿', '宣谕使'], ['楼炤', '签书枢密院事']], '生于地点': [['阴晫', '凤翔']]}","{'人物': ['璞', '化源', '阴晫', '楼炤', '周聿', '长孺'], '职官': ['敎授', '签书枢密院事', '宣谕使'], '时间': ['绍兴九年'], '地点': ['凤翔', '新凤翔']}","{'任职': [['楼炤', '签书枢密院事'], ['周聿', '宣谕使'], ['阴晫', '敎授']], '管理': [['阴晫', '凤翔'], ['阴晫', '新凤翔']]}"
会卓死，李傕等以遂为鎭西将军，遣还金城；腾为征西将军，遣屯郿。,"{'人物': ['卓', '李傕', '遂', '腾'], '职官': ['鎭西将军', '征西将军'], '地点': ['金城', '郿']}","{'任职': [['遂', '鎭西将军'], ['腾', '征西将军']], '位于': [['腾', '郿']], '到达': [['遂', '金城']], '封': [['李傕', '腾'], ['李傕', '遂']]}","{'人物': ['卓', '李傕', '遂', '腾'], '地点': ['金城', '郿'], '职官': ['鎭西将军', '征西将军']}","{'位于': [['腾', '郿']], '任职': [['遂', '鎭西将军'], ['腾', '征西将军']], '派遣': [['李傕', '遂']]}"
尙书衞觊上疏曰：「今议者多好悦耳：觊，音冀。,"{'职官': ['尙书'], '人物': ['衞觊']}","{'任职': [['衞觊', '尙书']]}","{'人物': ['衞觊'], '职官': ['尙书']}","{'任职': [['衞觊', '尙书']]}"
淳熙元年二月，进封天祚安南国王，加号守谦功臣。,"{'时间': ['淳熙元年二月'], '人物': ['天祚'], '职官': ['安南国王', '守谦功臣']}","{'任职': [['天祚', '安南国王'], ['天祚', '守谦功臣']]}","{'人物': ['天祚'], '职官': ['守谦功臣', '安南国王'], '时间': ['淳熙元年二月']}","{'任职': [['天祚', '安南国王']], '封': [['天祚', '守谦功臣']]}"
辛酉，以杨谷﹑杨石并为少傅。知楚州姚翀朝辞，奏淮楚忠义军事，上曰：“南北皆吾赤子，何分彼此，卿其为朕抚定之。,"{'时间': ['辛酉'], '人物': ['杨谷', '杨石', '姚翀'], '职官': ['少傅', '知楚州'], '地点': ['淮', '楚']}","{'任职': [['姚翀', '知楚州'], ['杨石', '少傅'], ['杨谷', '少傅']]}","{'人物': ['杨谷', '杨石', '姚翀'], '职官': ['少傅', '知楚州'], '时间': ['辛酉'], '地点': ['淮楚']}","{'任职': [['杨谷', '少傅'], ['杨石', '少傅'], ['姚翀', '知楚州']]}"
靖康初，诏起义兵，辉应募，立奇功，官至正使，寓吉州。,"{'时间': ['靖康'], '人物': ['辉'], '职官': ['正使'], '地点': ['吉州']}","{'任职': [['辉', '正使']], '管理': [['辉', '吉州']]}","{'人物': ['辉'], '地点': ['吉州'], '职官': ['正使'], '时间': ['靖康']}","{'任职': [['辉', '正使']]}"
建炎中，州上其事，官其子特立承信郞。,"{'时间': ['建炎中'], '人物': ['特立'], '职官': ['承信郞']}","{'任职': [['特立', '承信郞']]}","{'人物': ['特立'], '职官': ['承信郞'], '时间': ['建炎']}","{'任职': [['特立', '承信郞']]}"
辛丑，赵范依前沿江制置副使，权移司知黄州，史嵩之权京湖安抚制置使兼知襄阳府，陈韡华文阁待制，仍知隆兴府﹑江西安抚使。,"{'时间': ['辛丑'], '人物': ['赵范', '史嵩之', '陈韡'], '职官': ['沿江制置副使', '知黄州', '权京湖安抚制置使', '知襄阳府', '华文阁待制', '知隆兴府', '安抚使'], '地点': ['江西']}","{'任职': [['史嵩之', '权京湖安抚制置使'], ['陈韡', '安抚使'], ['陈韡', '华文阁待制'], ['陈韡', '知隆兴府'], ['赵范', '知黄州'], ['赵范', '沿江制置副使'], ['史嵩之', '知襄阳府']], '管理': [['陈韡', '江西']]}","{'人物': ['赵范', '史嵩之', '陈韡'], '职官': ['沿江制置副使', '权移司知黄州', '权京湖安抚制置使', '知襄阳府', '华文阁待制', '知隆兴府', '江西安抚使'], '时间': ['辛丑'], '地点': ['江西']}","{'任职': [['陈韡', '知隆兴府'], ['陈韡', '华文阁待制'], ['史嵩之', '知襄阳府'], ['赵范', '沿江制置副使'], ['陈韡', '安抚使'], ['史嵩之', '权京湖安抚制置使'], ['史嵩之', '兼知襄阳府'], ['史嵩之', '使兼知襄阳府']], '管理': [['陈韡', '江西']]}"
录滋三班奉职。,"{'人物': ['滋'], '职官': ['三班奉职']}","{'任职': [['滋', '三班奉职']]}","{'人物': ['滋'], '职官': ['三班奉职']}","{'任职': [['滋', '三班奉职']]}"
